Site,Timestamp,Status,StateDesc
SPS_A2,2017-06-28 07:50:57,0,STOPPED
SPS_A2,2017-06-28 08:09:01,1,RUNNING
SPS_A2,2017-06-28 08:13:06,0,STOPPED
SPS_A2,2017-06-28 08:31:41,1,RUNNING
SPS_A2,2017-06-28 08:35:39,0,STOPPED
SPS_A2,2017-06-28 10:57:01,1,RUNNING
SPS_A2,2017-06-28 11:01:21,0,STOPPED
SPS_A2,2017-06-28 11:17:59,1,RUNNING
SPS_A2,2017-06-28 11:22:12,0,STOPPED
SPS_A2,2017-06-28 11:38:41,1,RUNNING
SPS_A2,2017-06-28 11:43:11,0,STOPPED
SPS_A2,2017-06-28 11:58:36,1,RUNNING
SPS_A2,2017-06-28 12:03:13,0,STOPPED
SPS_A2,2017-06-28 12:19:03,1,RUNNING
SPS_A2,2017-06-28 12:23:32,0,STOPPED
SPS_A2,2017-06-28 12:38:56,1,RUNNING
SPS_A2,2017-06-28 12:43:57,0,STOPPED
SPS_A2,2017-06-28 12:58:50,1,RUNNING
SPS_A2,2017-06-28 13:03:58,0,STOPPED
SPS_A2,2017-07-11 21:04:52,1,RUNNING
SPS_A2,2017-07-11 21:09:13,0,STOPPED
SPS_A2,2017-07-11 21:28:11,1,RUNNING
SPS_A2,2017-07-11 21:32:40,0,STOPPED
SPS_A2,2017-07-11 22:16:41,1,RUNNING
SPS_A2,2017-07-11 22:21:11,0,STOPPED
SPS_A2,2017-07-12 01:27:24,1,RUNNING
SPS_A2,2017-07-12 01:31:37,0,STOPPED
SPS_A2,2017-07-12 01:48:22,1,RUNNING
SPS_A2,2017-07-12 01:52:43,0,STOPPED
SPS_A2,2017-07-12 02:08:25,1,RUNNING
SPS_A2,2017-07-12 02:13:10,0,STOPPED
SPS_A2,2017-07-12 02:28:20,1,RUNNING
SPS_A2,2017-07-12 02:33:13,0,STOPPED
SPS_A2,2017-07-12 02:48:38,1,RUNNING
SPS_A2,2017-07-12 02:53:22,0,STOPPED
SPS_A2,2017-07-12 03:09:04,1,RUNNING
SPS_A2,2017-07-12 03:13:49,0,STOPPED
SPS_A2,2017-07-12 03:28:44,1,RUNNING
SPS_A2,2017-07-12 03:33:53,0,STOPPED
SPS_A2,2017-07-12 03:49:03,1,RUNNING
SPS_A2,2017-07-12 03:54:59,0,STOPPED
SPS_A2,2017-07-12 04:10:32,1,RUNNING
SPS_A2,2017-07-12 04:16:28,0,STOPPED
SPS_A2,2017-07-12 04:32:03,1,RUNNING
SPS_A2,2017-07-12 04:37:43,0,STOPPED
SPS_A2,2017-07-12 04:53:09,1,RUNNING
SPS_A2,2017-07-12 04:59:14,0,STOPPED
SPS_A2,2017-07-12 05:14:47,1,RUNNING
SPS_A2,2017-07-12 05:19:32,0,STOPPED
SPS_A2,2017-07-19 05:47:40,1,RUNNING
SPS_A2,2017-07-19 05:51:22,0,STOPPED
SPS_A2,2017-07-19 06:06:17,1,RUNNING
SPS_A2,2017-07-19 06:10:29,0,STOPPED
SPS_A2,2017-07-19 06:24:37,1,RUNNING
SPS_A2,2017-07-19 06:28:43,0,STOPPED
SPS_A2,2017-07-19 06:43:06,1,RUNNING
SPS_A2,2017-07-19 06:47:20,0,STOPPED
SPS_A2,2017-07-19 07:01:43,1,RUNNING
SPS_A2,2017-07-19 07:05:41,0,STOPPED
SPS_A2,2017-07-19 07:19:24,1,RUNNING
SPS_A2,2017-07-19 07:23:53,0,STOPPED
SPS_A2,2017-07-19 07:37:43,1,RUNNING
SPS_A2,2017-07-19 07:42:13,0,STOPPED
SPS_A2,2017-07-19 07:55:24,1,RUNNING
SPS_A2,2017-07-19 07:59:53,0,STOPPED
SPS_A2,2017-07-19 08:13:21,1,RUNNING
SPS_A2,2017-07-19 08:17:49,0,STOPPED
SPS_A2,2017-07-19 08:31:17,1,RUNNING
SPS_A2,2017-07-19 08:35:46,0,STOPPED
SPS_A2,2017-07-19 08:49:36,1,RUNNING
SPS_A2,2017-07-19 08:54:36,0,STOPPED
SPS_A2,2017-07-19 09:08:19,1,RUNNING
SPS_A2,2017-07-19 09:13:04,0,STOPPED
SPS_A2,2017-07-19 09:26:15,1,RUNNING
SPS_A2,2017-07-19 09:31:08,0,STOPPED
SPS_A2,2017-07-19 09:44:11,1,RUNNING
SPS_A2,2017-07-19 09:49:11,0,STOPPED
SPS_A2,2017-07-19 10:02:22,1,RUNNING
SPS_A2,2017-07-19 10:07:46,0,STOPPED
SPS_A2,2017-07-20 06:12:38,1,RUNNING
SPS_A2,2017-07-20 06:15:48,0,STOPPED
SPS_A2,2017-07-20 06:33:29,1,RUNNING
SPS_A2,2017-07-20 06:36:38,0,STOPPED
SPS_A2,2017-07-20 06:51:48,1,RUNNING
SPS_A2,2017-07-20 06:54:59,0,STOPPED
SPS_A2,2017-07-20 07:10:48,1,RUNNING
SPS_A2,2017-07-20 07:13:49,0,STOPPED
SPS_A2,2017-07-20 07:40:29,1,RUNNING
SPS_A2,2017-07-20 07:43:54,0,STOPPED
SPS_A2,2017-07-20 07:59:52,1,RUNNING
SPS_A2,2017-07-20 08:03:18,0,STOPPED
SPS_A2,2017-07-20 08:18:12,1,RUNNING
SPS_A2,2017-07-20 08:21:37,0,STOPPED
SPS_A2,2017-07-20 08:36:15,1,RUNNING
SPS_A2,2017-07-20 08:39:56,0,STOPPED
SPS_A2,2017-07-20 08:54:35,1,RUNNING
SPS_A2,2017-07-20 08:58:17,0,STOPPED
